"Trait","term","DF","Sum_Sq","F","p","p_adj_holm","p_adj_fdr","Variance_Explained","Partial_Eta2"
"LDMC","Intensity",1,4842.16286695088,6.70064348418079,0.0121619656790956,1,0.0638033041699861,8.20455630630854,0.10356378427394
"LDMC","Frequency",1,21.0289019508782,0.0291000486163652,0.86514192699604,1,0.956209498258781,0.0356313521160981,0.000501473374427405
"LDMC","Composition",1,4281.25906548772,5.92445802619494,0.0180323892755534,1,0.0841511499525825,7.25416142121769,0.0926790497585011
"LDMC","Intensity:Frequency",1,770.907896003511,1.06679166153538,0.305958896297903,1,0.552699941699438,1.3062256296475,0.0180607686912861
"LDMC","Intensity:Composition",1,2120.28349482456,2.93407391997919,0.0920698629415122,1,0.241683390221469,3.59260640267952,0.0481516125744739
"LDMC","Frequency:Composition",1,5047.64754548773,6.98499566525559,0.0105516500395917,1,0.0638033041699861,8.55272935654734,0.107486283468203
"LDMC","Intensity:Frequency:Composition",1,21.4783898982423,0.029722055469187,0.863722577696402,1,0.956209498258781,0.0363929640805214,0.000512186762514155
"LDMC","Residuals",58,41913.2053430667,NA,NA,NA,NA,71.0176965674028,NA
"LCC","Intensity",1,53.8768820437594,162.990837177297,1.71584414051732e-18,2.86545971466393e-16,1.44130907803455e-16,63.8077156161627,0.737545679536624
"LCC","Frequency",1,7.9424674122403,24.0279200218565,8.00693683317755e-06,0.00128110989330841,0.000149462820885981,9.40645937007356,0.292923677882533
"LCC","Composition",1,0.558090176926466,1.68836023368592,0.198958548459164,1,0.412654767174562,0.660959913540926,0.0282862559312373
"LCC","Intensity:Frequency",1,1.80271590110774,5.45365958029506,0.0230083299242899,1,0.0942780348117243,2.13500074969428,0.0859471245057809
"LCC","Intensity:Composition",1,0.659528947375836,1.99523749700546,0.163137903058654,1,0.370367131268296,0.781096342594662,0.0332565980275526
"LCC","Frequency:Composition",1,0.154583205020465,0.467652266502193,0.496792408169989,1,0.787369099741115,0.183076689125579,0.00799847861806697
"LCC","Intensity:Frequency:Composition",1,0.270051825966856,0.816973282897948,0.369805565886688,1,0.633952398662893,0.319829014955303,0.013890093918442
"LCC","Residuals",58,19.1719928104848,NA,NA,NA,NA,22.705862303853,NA
"LNC","Intensity",1,6.59768081567233,95.9709119890253,6.61333641457516e-14,1.09781384481948e-11,3.62111527081137e-12,50.929898342751,0.623305472113239
"LNC","Frequency",1,1.54351133500502,22.4521607856434,1.43630205611808e-05,0.00226935724866656,0.000219362495843488,11.9149254986624,0.279074677005443
"LNC","Composition",1,0.009456348507626,0.137553545816758,0.712076552686851,1,0.922553210002906,0.0729969941927146,0.00236600161904568
"LNC","Intensity:Frequency",1,0.783663345830724,11.3992913711576,0.00131655812947558,0.201433393809763,0.0138238603594935,6.04938245016203,0.164256596082408
"LNC","Intensity:Composition",1,0.00442080950177104,0.0643057964560659,0.80071227223913,1,0.940696935217999,0.0341258367611594,0.00110749272851878
"LNC","Frequency:Composition",1,0.0195006592713778,0.283659683902222,0.596347168480816,1,0.860714877297297,0.150532682931356,0.00486688182314962
"LNC","Intensity:Frequency:Composition",1,0.00889517545570895,0.129390633563074,0.720371141304924,1,0.922553210002906,0.0686650952595416,0.00222590727604094
"LNC","Residuals",58,3.98730698060632,NA,NA,NA,NA,30.7794730992798,NA
"Leaf_CN","Intensity",1,854.050729433142,34.5156750155393,2.18870393703442e-07,3.52381333862541e-05,4.59627826777228e-06,32.636234322905,0.373079210736363
"Leaf_CN","Frequency",1,249.80499641407,10.0956392592847,0.0023828253146748,0.35742379720122,0.0206692947396884,9.54591351196809,0.148256766058749
"Leaf_CN","Composition",1,0.000666834060893962,2.69494854835905e-05,0.99587578355169,1,0.99587578355169,2.54820374432258e-05,4.6464608554513e-07
"Leaf_CN","Intensity:Frequency",1,64.1653068564269,2.5931818829998,0.11275416325345,1,0.282726857113129,2.45197845724853,0.0427965953002272
"Leaf_CN","Intensity:Composition",1,6.90149699205494,0.278917655695461,0.599426432403475,1,0.860714877297297,0.263730086807638,0.0047859100154068
"Leaf_CN","Frequency:Composition",1,5.04397222611556,0.203847500088857,0.653316784193678,1,0.907084460698661,0.192747636430207,0.00350230283468023
"Leaf_CN","Intensity:Frequency:Composition",1,1.76835599791616,0.0714664818287378,0.790161751077714,1,0.940696935217999,0.0675750031296288,0.00123066432033537
"Leaf_CN","Residuals",58,1435.14337427332,NA,NA,NA,NA,54.8417954994734,NA
"Chl","Intensity",1,143464.646235987,94.5830808919366,8.62170302574137e-14,1.42258099924733e-11,3.62111527081137e-12,58.5944244861027,0.619879218187519
"Chl","Frequency",1,3102.55119727105,2.04544365850361,0.158027735151291,1,0.365477940447232,1.26715679864246,0.0340649270598558
"Chl","Composition",1,20.9868195868476,0.0138361478366045,0.906769490125685,1,0.960030091152082,0.00857152370112309,0.00023849737847616
"Chl","Intensity:Frequency",1,10072.8513001974,6.64080896816819,0.012532791890533,1,0.0638033041699861,4.11399561044683,0.102734001541324
"Chl","Intensity:Composition",1,156.717137755259,0.103320156612495,0.749036636246722,1,0.922553210002906,0.0640070619124787,0.00177821433153914
"Chl","Frequency:Composition",1,49.9733109552617,0.0329463030546531,0.856599219339676,1,0.956209498258781,0.0204103064546791,0.000567717221913976
"Chl","Intensity:Frequency:Composition",1,0.754038386847242,0.000497120897795852,0.982288203918441,1,0.994123001556013,0.000307967478238974,8.57097649972965e-06
"Chl","Residuals",58,87975.0310861,NA,NA,NA,NA,35.9311262452615,NA
"PSIIeff","Intensity",1,0.0284100710526317,5.14426631388643,0.0270631110518339,1,0.104532224106349,8.00051973086434,0.0814684628421303
"PSIIeff","Frequency",1,9.72710526315756e-05,0.01761305694878,0.894878784344274,1,0.960030091152082,0.0273923628835408,0.000303581206132894
"PSIIeff","Composition",1,0.0017962815789474,0.325256167072412,0.570668697251574,1,0.860714877297297,0.505848302453493,0.00557659217373546
"PSIIeff","Intensity:Frequency",1,9.37973684210225e-05,0.0169840702547192,0.896761879491009,1,0.960030091152082,0.0264141436100361,0.000292743073892856
"PSIIeff","Intensity:Composition",1,2.21763157894905e-05,0.00401550823546485,0.949691325043369,1,0.966958440044157,0.0062450407710354,6.92281077487597e-05
"PSIIeff","Frequency:Composition",1,0.0043114815789474,0.780688278055766,0.380578564688939,1,0.645830291593352,1.21415019968532,0.0132813735416435
"PSIIeff","Intensity:Frequency:Composition",1,5.70394736841839e-05,0.0103282474194368,0.919402492381401,1,0.965372617000471,0.01606280511594,0.00017804152693958
"PSIIeff","Residuals",58,0.320314699999999,NA,NA,NA,NA,90.2033674146163,NA
"Psi_osm","Intensity",1,0.184582487719298,9.11567302461328,0.00376307655857514,0.553172254110546,0.0274900734432524,11.8690348991915,0.135820332476891
"Psi_osm","Frequency",1,0.000269224561403547,0.0132957524967471,0.908599907697506,1,0.960030091152082,0.0173116949202552,0.000229184574402928
"Psi_osm","Composition",1,0.00197895087719302,0.0977312059836171,0.755690730006098,1,0.922553210002906,0.127250625535555,0.00168218627397194
"Psi_osm","Intensity:Frequency",1,0.0500021929824559,2.46937641470538,0.121523811738354,1,0.295884063362948,3.21524420262124,0.0408368096566787
"Psi_osm","Intensity:Composition",1,0.0234464035087718,1.15790913119633,0.286355362389651,1,0.530264255379101,1.50765213398435,0.0195731922950217
"Psi_osm","Frequency:Composition",1,0.103722698245614,5.12238302842418,0.0273774872659485,1,0.104532224106349,6.66958355869421,0.081150026071062
"Psi_osm","Intensity:Frequency:Composition",1,0.0167210140350877,0.825773335635315,0.367258181076462,1,0.633952398662893,1.07519571105866,0.0140376112171751
"Psi_osm","Residuals",58,1.17443706666667,NA,NA,NA,NA,75.5187271739942,NA
"SS","Intensity",1,1448.77698504421,174.199626982834,4.05331645928033e-19,6.80957165159096e-17,6.80957165159096e-17,72.2048887187436,0.750214930344019
"SS","Frequency",1,0.925479509723232,0.111278814502373,0.739895923955147,1,0.922553210002906,0.046124521372766,0.00191492627201662
"SS","Composition",1,0.151643682167219,0.0182334984200669,0.89305451783898,1,0.960030091152082,0.00755769542780968,0.000314271864560706
"SS","Intensity:Frequency",1,2.13809952510712,0.257083142243917,0.61405359741212,1,0.873770260009238,0.106559698196232,0.00441290789681673
"SS","Intensity:Composition",1,43.9122098059249,5.27996416781194,0.0251978719396465,1,0.100791487758586,2.18851918215292,0.0834381662070797
"SS","Frequency:Composition",1,3.30379154975031,0.39724489106098,0.53099102875458,1,0.825986044729346,0.164656053804145,0.0068024594619495
"SS","Intensity:Frequency:Composition",1,24.9000083663795,2.99395435879344,0.0888939337431867,1,0.240873884981538,1.24097935827946,0.0490860838630281
"SS","Residuals",58,482.372244923606,NA,NA,NA,NA,24.0407147720231,NA
"SD","Intensity",1,1363.74531805122,18.1688689199441,7.5291410993889e-05,0.0118207515260406,0.00105407975391445,20.1271486055395,0.238534051740221
"SD","Frequency",1,1.17860975229996,0.0157023498551079,0.900712248878153,1,0.960030091152082,0.0173947828223366,0.000270656894928501
"SD","Composition",1,259.974796125143,3.46358512162422,0.0678049840447345,1,0.214527081220383,3.83689775946057,0.0563518238444841
"SD","Intensity:Frequency",1,248.617169838948,3.31227004797801,0.0739258974242136,1,0.218683599475654,3.66927362242955,0.0540229556887406
"SD","Intensity:Composition",1,137.985370923156,1.83834773545196,0.180400481574046,1,0.39360105070701,2.03648879977788,0.0307219000026434
"SD","Frequency:Composition",1,152.94471728284,2.03764770703722,0.158808866980047,1,0.365477940447232,2.25726975003136,0.0339394993784604
"SD","Intensity:Frequency:Composition",1,257.756749065909,3.43403458477246,0.0689551332494089,1,0.214527081220383,3.80416220232658,0.0558979173024011
"SD","Residuals",58,4353.44813127831,NA,NA,NA,NA,64.2513644776123,NA
"RD","Intensity",1,0.00231633771929824,5.55955606231049,0.0217737680443083,1,0.091449825786095,8.00100650654497,0.0874700266449342
"RD","Frequency",1,0.00135094824561403,3.24247731502929,0.0769520946416152,1,0.221830270850054,4.66639454735387,0.05294490780231
"RD","Composition",1,0.000120347508771931,0.28885197370082,0.593013291614769,1,0.860714877297297,0.415699831984093,0.00495552689614038
"RD","Intensity:Frequency",1,6.41369824561401e-05,0.153938325427072,0.696237948187328,1,0.922553210002906,0.221539549119463,0.00264708341102609
"RD","Intensity:Composition",1,1.90487719298194e-06,0.00457198942018185,0.946323489019562,1,0.966958440044157,0.00657975505395431,7.88211905264254e-05
"RD","Frequency:Composition",1,0.000931698561403505,2.23621553201927,0.140232153090595,1,0.336557167417427,3.21823807893888,0.0371241040339027
"RD","Intensity:Frequency:Composition",1,4.05614035102475e-08,9.73534191074422e-05,0.99216143378183,1,0.99587578355169,0.00014010567228444,1.6785044086086e-06
"RD","Residuals",58,0.0241651646666667,NA,NA,NA,NA,83.4704016253325,NA
"RDMC","Intensity",1,33864.545200808,79.777189695401,1.71852521249113e-12,2.81838134848546e-10,5.7742447139702e-11,46.8037481313079,0.579030461223466
"RDMC","Frequency",1,5890.5658961763,13.8768375634734,0.000444123334855303,0.0688391169025719,0.00532948001826363,8.14127462573836,0.19306410846497
"RDMC","Composition",1,4750.93797370615,11.1921325891717,0.00144519107830787,0.219669043902796,0.0142818883032778,6.56620967416694,0.161754410080478
"RDMC","Intensity:Frequency",1,1258.86050337632,2.96558989888648,0.0903828597013243,1,0.241020959203531,1.73985475319689,0.0486436677444606
"RDMC","Intensity:Composition",1,1166.93120330614,2.7490253129227,0.102713211178244,1,0.26547414581454,1.61280046143367,0.045252171516535
"RDMC","Frequency:Composition",1,671.660746948248,1.58228042049614,0.213473335977442,1,0.431725829676459,0.928293595660098,0.0265562245910924
"RDMC","Intensity:Frequency:Composition",1,130.476897306136,0.307373984370257,0.581427689413514,1,0.860714877297297,0.18033042529463,0.00527161426362042
"RDMC","Residuals",58,24620.3661616334,NA,NA,NA,NA,34.0274883332015,NA
"SRL","Intensity",1,96.7826829552632,0.485193884945801,0.48886138074611,1,0.782178209193776,0.730999925165835,0.00829601225055853
"SRL","Frequency",1,1348.88723053421,6.76228242235441,0.011792069346887,1,0.0638033041699861,10.1881497233699,0.104416987317609
"SRL","Composition",1,49.8812301482449,0.250066097596093,0.618920600839877,1,0.873770260009238,0.37675309665058,0.00429297534490545
"SRL","Intensity:Frequency",1,17.2847185342107,0.0866522757969514,0.769528016831583,1,0.930077027537453,0.130551536382402,0.00149177603463054
"SRL","Intensity:Composition",1,129.528652948246,0.649356976028509,0.423634254301182,1,0.70465895764949,0.978330345065616,0.0110718515855838
"SRL","Frequency:Composition",1,20.6000263377191,0.10327267754505,0.749092316446264,1,0.922553210002906,0.155592067211523,0.00177739863498191
"SRL","Intensity:Frequency:Composition",1,7.41536425350932,0.0371749292392679,0.847782886960687,1,0.956209498258781,0.0560082707864004,0.00064053650586185
"SRL","Residuals",58,11569.3865598333,NA,NA,NA,NA,87.3836150353678,NA
"SRA","Intensity",1,33083.5063271052,5.83040838663521,0.018926165244192,1,0.0859350205682232,7.87976278618115,0.0913421758375587
"SRA","Frequency",1,41622.3714821054,7.33523893633035,0.00887187130447474,1,0.0596189751660703,9.91353246039079,0.112270790705741
"SRA","Composition",1,4907.85641575087,0.864926677477086,0.356218439402926,1,0.62338226895512,1.168943338786,0.0146934129760502
"SRA","Intensity:Frequency",1,375.499327105295,0.0661754048765047,0.797899474123676,1,0.940696935217999,0.0894356721051721,0.00113965496117292
"SRA","Intensity:Composition",1,8406.80240675091,1.48155672414165,0.22846055635132,1,0.451545570200256,2.00231523528752,0.0249078337174779
"SRA","Frequency:Composition",1,1900.20741280349,0.33487941472754,0.565040485185412,1,0.860714877297297,0.452587567635387,0.00574063781544381
"SRA","Intensity:Frequency:Composition",1,448.247319592978,0.0789960080289449,0.779662873871465,1,0.935595448645758,0.106762642176182,0.00136014761718719
"SRA","Residuals",58,329109.599144132,NA,NA,NA,NA,78.3866602974378,NA
"RTD","Intensity",1,0.013686403508772,35.1196328894355,1.80329473506052e-07,2.92133747079804e-05,4.32790736414525e-06,30.6127462194803,0.37714531081898
"RTD","Frequency",1,0.00259508771929823,6.65905604487136,0.0124184534500113,1,0.0638033041699861,5.80450238203557,0.102987214045472
"RTD","Composition",1,0.00170459298245615,4.37402563291365,0.0408803267215266,1,0.140161120188091,3.81270889361053,0.070125754888034
"RTD","Intensity:Frequency",1,0.000116224561403512,0.298234954611041,0.587085645918807,1,0.860714877297297,0.259962597218162,0.00511567725580777
"RTD","Intensity:Composition",1,0.00161768771929824,4.15102468629466,0.0461805568351638,1,0.152124187221716,3.61832555802604,0.066789320164017
"RTD","Frequency:Composition",1,0.00238237192982457,6.11322233250759,0.0163710758116308,1,0.0808923745986463,5.32871526412252,0.0953504146274672
"RTD","Intensity:Frequency:Composition",1,2.7508771929842e-06,0.00705881549375672,0.933332428595641,1,0.966958440044157,0.00615296088090696,0.000121688905417685
"RTD","Residuals",58,0.0226030666666668,NA,NA,NA,NA,50.5568861246259,NA
"RCC","Intensity",1,12.2804892534576,3.2211330435867,0.0779046784532929,1,0.221830270850054,4.6223067641976,0.0526147244170309
"RCC","Frequency",1,27.4293692545612,7.19463580375937,0.00950952982631006,1,0.0614461927238496,10.3242595979907,0.110356254238704
"RCC","Composition",1,0.137112438083108,0.0359641538607173,0.850251664367199,1,0.956209498258781,0.0516083469417746,0.000619687367739283
"RCC","Intensity:Frequency",1,3.50710942302516,0.919903581756727,0.341481544428797,1,0.604021061907953,1.32005616993363,0.0156127815192412
"RCC","Intensity:Composition",1,0.403913304106311,0.105945167472445,0.745979933268891,1,0.922553210002906,0.152030685356802,0.00182331028549816
"RCC","Frequency:Composition",1,0.120222379216557,0.0315339454544966,0.859673132303009,1,0.956209498258781,0.045251024221544,0.000543393277939822
"RCC","Intensity:Frequency:Composition",1,0.67703537142421,0.177584211961059,0.675015294795632,1,0.917664580780516,0.254832288221258,0.00305245077406546
"RCC","Residuals",58,221.123550956292,NA,NA,NA,NA,83.2296551231367,NA
"RNC","Intensity",1,0.0608106173849371,10.9243704329225,0.0016311912028125,0.246309871624687,0.01522445122625,12.6768057661707,0.15849793569829
"RNC","Frequency",1,0.0546147154609682,9.81130283561403,0.00271788763758803,0.402247370363029,0.0217431011007042,11.3851851805876,0.144685361073187
"RNC","Composition",1,0.0334648321622793,6.0118156785376,0.0172423288213061,1,0.0827631783422695,6.9762024390135,0.0939172809708832
"RNC","Intensity:Frequency",1,0.00725309309102562,1.30298752287394,0.258359241609498,1,0.498900604487306,1.51200655860569,0.0219717012127149
"RNC","Intensity:Composition",1,8.95687993032745e-05,0.0160906562850228,0.899498694467333,1,0.960030091152082,0.0186718425219933,0.000277348165017729
"RNC","Frequency:Composition",1,3.6949036390066e-05,0.0066377382441211,0.935346840383413,1,0.966958440044157,0.00770253251334461,0.000114430666953565
"RNC","Intensity:Frequency:Composition",1,0.000572486608746814,0.102844799983676,0.74959474115327,1,0.922553210002906,0.119342671640343,0.00177004758265649
"RNC","Residuals",58,0.322857580670927,NA,NA,NA,NA,67.3040830089468,NA
"Root_CN","Intensity",1,128.57085987853,6.72315277599494,0.0120254841701517,1,0.0638033041699861,9.04325056004289,0.103875545112328
"Root_CN","Frequency",1,63.2208611359888,3.30590857406401,0.0741962212506683,1,0.218683599475654,4.44674701883905,0.0539247953575327
"Root_CN","Composition",1,109.150394915904,5.70762909475067,0.0201645037455507,1,0.0868624776731417,7.67727905751519,0.0895909826790424
"Root_CN","Intensity:Frequency",1,1.83559263888037,0.0959857448051905,0.75781156535953,1,0.922553210002906,0.129109536758551,0.00165219237740145
"Root_CN","Intensity:Composition",1,5.95526090135149,0.311409046330735,0.57896461882069,1,0.860714877297297,0.418873425379819,0.00534044797448314
"Root_CN","Frequency:Composition",1,2.98471311093999,0.156074885524785,0.694245499416012,1,0.922553210002906,0.209934883670968,0.0026837245435151
"Root_CN","Intensity:Frequency:Composition",1,0.846534506086982,0.044266491022548,0.834095985506256,1,0.956209498258781,0.0595424472815954,0.000762633309000372
"Root_CN","Residuals",58,1109.16858822253,NA,NA,NA,NA,78.0152630705119,NA
